prov,tahun,kategori_pmi
SULAWESI SELATAN,2019,SANGAT TINGGI
SULAWESI TENGGARA,2019,SANGAT TINGGI
GORONTALO,2019,TINGGI
SULAWESI BARAT,2019,TINGGI
MALUKU,2019,TINGGI
MALUKU UTARA,2019,TINGGI
PAPUA BARAT,2019,TINGGI
PAPUA,2019,TINGGI
ACEH,2018,SANGAT TINGGI
SUMATERA UTARA,2018,SANGAT TINGGI
SUMATERA BARAT,2018,SANGAT TINGGI
RIAU,2018,SANGAT TINGGI
JAMBI,2018,SANGAT TINGGI
SUMATERA SELATAN,2018,TINGGI
BENGKULU,2018,SANGAT TINGGI
LAMPUNG,2018,TINGGI
KEP. BANGKA BELITUNG,2018,SANGAT TINGGI
KEP. RIAU,2018,SANGAT TINGGI
DKI JAKARTA,2018,SEDANG
JAWA BARAT,2018,SANGAT TINGGI
JAWA TENGAH,2018,TINGGI
DI YOGYAKARTA,2018,SANGAT TINGGI
JAWA TIMUR,2018,SANGAT TINGGI
BANTEN,2018,SANGAT TINGGI
BALI,2018,SANGAT TINGGI
NUSA TENGGARA BARAT,2018,TINGGI
NUSA TENGGARA TIMUR,2018,TINGGI
KALIMANTAN BARAT,2018,TINGGI
KALIMANTAN TENGAH,2018,SANGAT TINGGI
KALIMANTAN SELATAN,2018,SANGAT TINGGI
KALIMANTAN TIMUR,2018,SANGAT TINGGI
KALIMANTAN UTARA,2018,SANGAT TINGGI
SULAWESI UTARA,2018,SANGAT TINGGI
SULAWESI TENGAH,2018,TINGGI
SULAWESI SELATAN,2018,SANGAT TINGGI
SULAWESI TENGGARA,2018,SANGAT TINGGI
GORONTALO,2018,TINGGI
SULAWESI BARAT,2018,TINGGI
MALUKU,2018,TINGGI
MALUKU UTARA,2018,TINGGI
PAPUA BARAT,2018,TINGGI
PAPUA,2018,TINGGI
ACEH,2017,TINGGI
SUMATERA UTARA,2017,SANGAT TINGGI
SUMATERA BARAT,2017,SANGAT TINGGI
RIAU,2017,SANGAT TINGGI
JAMBI,2017,TINGGI
SUMATERA SELATAN,2017,TINGGI
BENGKULU,2017,TINGGI
LAMPUNG,2017,TINGGI
KEP. BANGKA BELITUNG,2017,SANGAT TINGGI
KEP. RIAU,2017,SANGAT TINGGI
DKI JAKARTA,2017,SEDANG
JAWA BARAT,2017,SANGAT TINGGI
JAWA TENGAH,2017,TINGGI
DI YOGYAKARTA,2017,SANGAT TINGGI
JAWA TIMUR,2017,SANGAT TINGGI
BANTEN,2017,SANGAT TINGGI
BALI,2017,SANGAT TINGGI
NUSA TENGGARA BARAT,2017,TINGGI
NUSA TENGGARA TIMUR,2017,TINGGI
KALIMANTAN BARAT,2017,TINGGI
KALIMANTAN TENGAH,2017,SANGAT TINGGI
KALIMANTAN SELATAN,2017,TINGGI
KALIMANTAN TIMUR,2017,SANGAT TINGGI
KALIMANTAN UTARA,2017,TINGGI
SULAWESI UTARA,2017,SANGAT TINGGI
SULAWESI TENGAH,2017,TINGGI
SULAWESI SELATAN,2017,SANGAT TINGGI
SULAWESI TENGGARA,2017,TINGGI
GORONTALO,2017,TINGGI
SULAWESI BARAT,2017,TINGGI
MALUKU,2017,TINGGI
MALUKU UTARA,2017,TINGGI
PAPUA BARAT,2017,TINGGI
PAPUA,2017,TINGGI
ACEH,2016,SANGAT TINGGI
SUMATERA UTARA,2016,SANGAT TINGGI
SUMATERA BARAT,2016,SANGAT TINGGI
RIAU,2016,SANGAT TINGGI
JAMBI,2016,TINGGI
SUMATERA SELATAN,2016,TINGGI
BENGKULU,2016,TINGGI
LAMPUNG,2016,TINGGI
KEP. BANGKA BELITUNG,2016,TINGGI
KEP. RIAU,2016,SANGAT TINGGI
DKI JAKARTA,2016,SANGAT TINGGI
JAWA BARAT,2016,SANGAT TINGGI
JAWA TENGAH,2016,TINGGI
DI YOGYAKARTA,2016,SANGAT TINGGI
JAWA TIMUR,2016,TINGGI
BANTEN,2016,SANGAT TINGGI
BALI,2016,SANGAT TINGGI
NUSA TENGGARA BARAT,2016,TINGGI
NUSA TENGGARA TIMUR,2016,TINGGI
KALIMANTAN BARAT,2016,TINGGI
KALIMANTAN TENGAH,2016,TINGGI
KALIMANTAN SELATAN,2016,TINGGI
KALIMANTAN TIMUR,2016,SANGAT TINGGI
KALIMANTAN UTARA,2016,TINGGI
SULAWESI UTARA,2016,SANGAT TINGGI
SULAWESI TENGAH,2016,TINGGI
SULAWESI SELATAN,2016,TINGGI
SULAWESI TENGGARA,2016,TINGGI
GORONTALO,2016,TINGGI
SULAWESI BARAT,2016,TINGGI
MALUKU,2016,TINGGI
MALUKU UTARA,2016,TINGGI
PAPUA BARAT,2016,TINGGI
PAPUA,2016,SANGAT RENDAH
ACEH,2015,TINGGI
SUMATERA UTARA,2015,SANGAT TINGGI
SUMATERA BARAT,2015,TINGGI
RIAU,2015,SANGAT TINGGI
JAMBI,2015,TINGGI
SUMATERA SELATAN,2015,TINGGI
BENGKULU,2015,TINGGI
LAMPUNG,2015,TINGGI
KEP. BANGKA BELITUNG,2015,TINGGI
KEP. RIAU,2015,SANGAT TINGGI
DKI JAKARTA,2015,SANGAT TINGGI
JAWA BARAT,2015,SANGAT TINGGI
JAWA TENGAH,2015,TINGGI
DI YOGYAKARTA,2015,SANGAT TINGGI
JAWA TIMUR,2015,TINGGI
BANTEN,2015,SANGAT TINGGI
BALI,2015,SANGAT TINGGI
NUSA TENGGARA BARAT,2015,TINGGI
NUSA TENGGARA TIMUR,2015,TINGGI
KALIMANTAN BARAT,2015,TINGGI
KALIMANTAN TENGAH,2015,TINGGI
KALIMANTAN SELATAN,2015,TINGGI
KALIMANTAN TIMUR,2015,SANGAT TINGGI
KALIMANTAN UTARA,2015,TINGGI
SULAWESI UTARA,2015,SANGAT TINGGI
SULAWESI TENGAH,2015,TINGGI
SULAWESI SELATAN,2015,TINGGI
SULAWESI TENGGARA,2015,TINGGI
GORONTALO,2015,TINGGI
SULAWESI BARAT,2015,TINGGI
MALUKU,2015,TINGGI
MALUKU UTARA,2015,TINGGI
PAPUA BARAT,2015,TINGGI
PAPUA,2015,SANGAT RENDAH
ACEH,2014,TINGGI
SUMATERA UTARA,2014,TINGGI
SUMATERA BARAT,2014,TINGGI
RIAU,2014,SANGAT TINGGI
JAMBI,2014,TINGGI
SUMATERA SELATAN,2014,TINGGI
BENGKULU,2014,TINGGI
LAMPUNG,2014,TINGGI
KEP. BANGKA BELITUNG,2014,TINGGI
KEP. RIAU,2014,SANGAT TINGGI
DKI JAKARTA,2014,SANGAT TINGGI
JAWA BARAT,2014,TINGGI
JAWA TENGAH,2014,TINGGI
DI YOGYAKARTA,2014,SANGAT TINGGI
JAWA TIMUR,2014,TINGGI
BANTEN,2014,TINGGI
BALI,2014,SANGAT TINGGI
NUSA TENGGARA BARAT,2014,TINGGI
NUSA TENGGARA TIMUR,2014,TINGGI
KALIMANTAN BARAT,2014,TINGGI
KALIMANTAN TENGAH,2014,SANGAT TINGGI
KALIMANTAN SELATAN,2014,TINGGI
KALIMANTAN TIMUR,2014,SANGAT TINGGI
KALIMANTAN UTARA,2014,SANGAT RENDAH
SULAWESI UTARA,2014,TINGGI
SULAWESI TENGAH,2014,TINGGI
SULAWESI SELATAN,2014,TINGGI
SULAWESI TENGGARA,2014,TINGGI
GORONTALO,2014,TINGGI
SULAWESI BARAT,2014,TINGGI
MALUKU,2014,TINGGI
MALUKU UTARA,2014,TINGGI
PAPUA BARAT,2014,SANGAT RENDAH
PAPUA,2014,SANGAT RENDAH
ACEH,2013,TINGGI
SUMATERA UTARA,2013,TINGGI
SUMATERA BARAT,2013,TINGGI
RIAU,2013,TINGGI
JAMBI,2013,TINGGI
SUMATERA SELATAN,2013,TINGGI
BENGKULU,2013,TINGGI
LAMPUNG,2013,SANGAT TINGGI
KEP. BANGKA BELITUNG,2013,TINGGI
